,Departament,Cdig,Tama,Robo,Intento_robo,Extorsión,Estafa o fraude,Daños,Amenazas,Secuestros,Final
0,AMAZONAS,4100,MICRO,0,0,0,1,0,0,0,Est
1,AMAZONAS,4290,PEQUEÑA,0,0,0,0,0,0,0,Nin
2,AMAZONAS,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
3,AMAZONAS,7110,PEQUEÑA,0,0,0,0,0,0,0,Nin
4,AMAZONAS,7730,PEQUEÑA,0,0,0,0,0,0,0,Nin
5,AMAZONAS,899,MICRO,0,0,0,0,0,0,0,Nin
6,AMAZONAS,4923,PEQUEÑA,1,0,0,1,0,0,0,Rob_Est
7,AMAZONAS,4690,PEQUEÑA,0,1,0,0,0,0,0,int
8,AMAZONAS,4620,PEQUEÑA,0,0,0,1,0,0,0,Est
9,AMAZONAS,4530,PEQUEÑA,0,0,1,0,0,0,0,Ext
10,AMAZONAS,1079,PEQUEÑA,0,0,0,0,0,0,0,Nin
11,AMAZONAS,4390,MEDIANA,0,0,0,0,0,0,0,Nin
12,AMAZONAS,4721,PEQUEÑA,0,0,0,0,0,0,0,Nin
13,AMAZONAS,5610,MICRO,0,0,0,0,0,0,0,Nin
14,AMAZONAS,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
15,ÁNCASH,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
16,ÁNCASH,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
17,ÁNCASH,4923,PEQUEÑA,1,1,0,0,0,0,0,Rob_Int
18,ÁNCASH,4290,GRANDE,0,0,0,0,0,0,0,Nin
19,ÁNCASH,9609,PEQUEÑA,0,0,0,0,0,0,0,Nin
20,ÁNCASH,899,PEQUEÑA,0,1,0,0,0,0,0,int
21,ÁNCASH,8299,PEQUEÑA,0,0,0,0,0,0,0,Nin
22,ÁNCASH,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
23,ÁNCASH,4923,MICRO,0,0,0,0,0,0,0,Nin
24,ÁNCASH,4530,GRANDE,0,0,0,0,0,0,0,Nin
25,ÁNCASH,311,PEQUEÑA,0,0,0,0,0,0,0,Nin
26,ÁNCASH,4630,MEDIANA,0,0,0,0,0,0,0,Nin
27,ÁNCASH,6190,PEQUEÑA,0,0,0,0,0,0,0,Nin
28,ÁNCASH,3530,MICRO,0,0,0,0,0,0,0,Nin
29,ÁNCASH,5510,MEDIANA,0,0,0,0,0,0,0,Nin
30,ÁNCASH,3315,PEQUEÑA,1,0,1,0,0,1,0,Rob_Ext_Ame
31,ÁNCASH,4923,PEQUEÑA,0,0,0,0,0,0,0,Nin
32,ÁNCASH,4661,PEQUEÑA,0,1,0,0,0,0,0,int
33,ÁNCASH,1020,GRANDE,0,0,0,0,0,0,0,Nin
34,ÁNCASH,4752,PEQUEÑA,0,0,0,0,0,0,0,Nin
35,ÁNCASH,8521,PEQUEÑA,0,0,0,0,0,0,0,Nin
36,ÁNCASH,4773,PEQUEÑA,0,0,0,0,0,0,0,Nin
37,ÁNCASH,4630,PEQUEÑA,0,0,0,0,0,0,0,Nin
38,ÁNCASH,5610,PEQUEÑA,0,0,0,0,0,0,0,Nin
39,ÁNCASH,4759,MICRO,0,1,0,0,0,0,0,int
40,ÁNCASH,6910,PEQUEÑA,0,0,0,0,0,0,0,Nin
41,APURÍMAC,4630,PEQUEÑA,0,0,0,0,0,0,0,Nin
42,APURÍMAC,1629,MICRO,0,0,0,0,0,0,0,Nin
43,APURÍMAC,4922,PEQUEÑA,0,0,0,0,0,0,0,Nin
44,APURÍMAC,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
45,APURÍMAC,4663,MICRO,0,0,0,1,0,0,0,Est
46,APURÍMAC,5610,PEQUEÑA,0,0,0,0,0,0,0,Nin
47,APURÍMAC,4923,MICRO,0,1,0,0,0,0,0,int
48,APURÍMAC,4661,PEQUEÑA,0,1,0,1,1,0,0,Int_Est_Dan
49,APURÍMAC,4730,MEDIANA,0,0,0,0,0,0,0,Nin
50,APURÍMAC,4100,PEQUEÑA,0,0,0,0,0,0,0,Nin
51,APURÍMAC,7110,PEQUEÑA,0,0,0,0,0,0,0,Nin
52,APURÍMAC,4630,GRANDE,0,0,0,0,0,0,0,Nin
53,APURÍMAC,6209,PEQUEÑA,0,0,0,1,0,0,0,Est
54,APURÍMAC,4921,PEQUEÑA,1,0,0,1,1,0,0,Rob_Est_Dan
55,APURÍMAC,9200,GRANDE,0,0,0,0,0,0,0,Nin
56,APURÍMAC,4730,PEQUEÑA,0,0,0,0,0,0,0,Nin
57,APURÍMAC,4510,PEQUEÑA,0,1,0,1,0,0,0,Int_Est
