Departament,Cdig,Tama,P1,P2,P3,P4,P5,P6,P7,P8,Robo
1,4100,MICRO,0,0,0,0,0,0,0,1,0
1,4290,PEQUEÑA,1,0,0,0,0,0,0,1,0
1,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
1,7110,PEQUEÑA,0,0,0,0,0,0,0,0,0
1,7730,PEQUEÑA,1,0,0,0,0,0,0,0,0
1,899,MICRO,0,0,0,0,0,0,0,0,0
1,4923,PEQUEÑA,0,0,0,0,0,0,0,0,1
1,4690,PEQUEÑA,0,1,0,0,0,0,1,0,0
1,4620,PEQUEÑA,0,1,1,0,0,0,0,0,0
1,4530,PEQUEÑA,0,1,0,0,0,0,0,0,0
1,1079,PEQUEÑA,0,0,0,0,0,0,0,0,0
1,4390,MEDIANA,0,1,0,0,0,0,0,0,0
1,4721,PEQUEÑA,0,0,0,0,0,0,0,0,0
1,5610,MICRO,0,0,0,0,0,0,1,0,0
1,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
2,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
2,4100,PEQUEÑA,0,0,0,0,0,0,1,0,0
2,4923,PEQUEÑA,0,1,1,0,1,1,0,0,1
2,4290,GRANDE,1,0,1,0,1,1,0,1,0
2,9609,PEQUEÑA,0,0,0,0,0,0,0,0,0
2,899,PEQUEÑA,0,1,1,0,0,0,0,0,0
2,8299,PEQUEÑA,0,0,1,0,0,0,0,0,0
2,4100,PEQUEÑA,0,1,0,0,0,0,0,0,0
2,4923,MICRO,1,0,0,0,0,0,0,0,0
2,4530,GRANDE,0,0,0,0,0,0,0,0,0
2,311,PEQUEÑA,0,1,0,0,0,0,0,0,0
2,4630,MEDIANA,0,1,0,0,0,0,0,0,0
2,6190,PEQUEÑA,0,1,1,1,0,1,0,0,0
2,3530,MICRO,0,1,0,0,0,0,1,0,0
2,5510,MEDIANA,0,1,0,0,0,0,1,0,0
2,3315,PEQUEÑA,0,1,1,1,0,0,1,0,1
2,4923,PEQUEÑA,0,0,0,0,0,0,0,0,0
2,4661,PEQUEÑA,0,1,0,0,0,0,1,0,0
2,1020,GRANDE,0,1,0,0,0,0,0,0,0
2,4752,PEQUEÑA,1,0,0,0,0,0,0,0,0
2,8521,PEQUEÑA,0,1,0,1,0,0,1,0,0
2,4773,PEQUEÑA,1,0,0,0,0,0,0,0,0
2,4630,PEQUEÑA,0,0,0,0,0,0,0,0,0
2,5610,PEQUEÑA,1,1,0,0,0,0,0,0,0
2,4759,MICRO,1,0,0,0,0,0,0,0,0
2,6910,PEQUEÑA,0,0,0,0,0,0,0,0,0
3,4630,PEQUEÑA,1,0,0,0,0,0,0,0,0
3,1629,MICRO,0,0,0,0,0,0,0,0,0
3,4922,PEQUEÑA,0,0,0,0,0,0,0,0,0
3,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
3,4663,MICRO,0,0,0,0,0,0,0,0,0
3,5610,PEQUEÑA,0,1,0,1,0,0,0,0,0
3,4923,MICRO,0,0,0,0,0,0,0,0,0
3,4661,PEQUEÑA,0,1,0,0,0,0,0,1,0
3,4730,MEDIANA,0,1,0,1,0,1,0,1,0
3,4100,PEQUEÑA,0,0,0,0,0,0,0,1,0
3,7110,PEQUEÑA,0,0,0,0,0,0,0,0,0
3,4630,GRANDE,0,1,0,1,0,0,0,0,0
3,6209,PEQUEÑA,0,1,0,1,0,0,0,0,0
3,4921,PEQUEÑA,1,1,0,0,0,0,0,0,1
3,9200,GRANDE,0,0,1,1,0,0,0,1,0
3,4730,PEQUEÑA,0,0,0,0,0,0,0,0,0
3,4510,PEQUEÑA,0,1,0,0,0,0,0,0,0
3,4530,PEQUEÑA,0,0,0,0,0,0,0,0,0
3,4759,PEQUEÑA,0,0,0,0,0,0,0,0,1
3,1079,PEQUEÑA,0,0,0,0,0,0,0,0,0
3,7110,PEQUEÑA,0,0,0,0,0,0,0,0,0
4,4771,MICRO,0,1,0,0,0,0,0,0,0
4,7110,PEQUEÑA,0,0,0,1,0,0,0,1,0
